2021-08-25T14:54:17+02:00,system,internet,FALSE,TRUE
2021-08-25T14:54:34+02:00,system,internet,TRUE,FALSE
2021-08-25T14:54:35+02:00,system,internet,FALSE,TRUE
2021-08-25T14:56:17+02:00,system,internet,TRUE,FALSE
2021-08-25T14:56:22+02:00,system,internet,FALSE,TRUE
2021-08-25T14:56:24+02:00,system,internet,TRUE,FALSE
2021-08-25T14:56:25+02:00,system,internet,FALSE,TRUE
2021-08-25T14:56:27+02:00,system,internet,TRUE,FALSE
2021-08-25T14:56:28+02:00,system,internet,FALSE,TRUE
2021-08-25T14:56:43+02:00,system,internet,TRUE,FALSE
2021-08-25T14:56:44+02:00,system,internet,FALSE,TRUE
2021-08-25T14:56:47+02:00,system,internet,TRUE,FALSE
2021-08-25T14:56:48+02:00,system,internet,FALSE,TRUE
2021-08-25T14:57:22+02:00,system,internet,TRUE,FALSE
2021-08-25T14:57:23+02:00,system,internet,FALSE,TRUE
2021-08-25T14:58:42+02:00,system,internet,TRUE,FALSE
2021-08-25T14:58:43+02:00,system,internet,FALSE,TRUE
2021-08-25T15:02:20+02:00,system,internet,TRUE,FALSE
2021-08-25T15:02:21+02:00,system,internet,FALSE,TRUE
2021-08-25T15:02:50+02:00,system,internet,TRUE,FALSE
2021-08-25T15:02:55+02:00,system,internet,FALSE,TRUE
2021-08-25T15:06:06+02:00,system,internet,TRUE,FALSE
2021-08-25T15:06:07+02:00,system,internet,FALSE,TRUE
2021-08-25T15:07:23+02:00,system,internet,TRUE,FALSE
2021-08-25T15:07:24+02:00,system,internet,FALSE,TRUE
2021-08-25T15:07:39+02:00,system,internet,TRUE,FALSE
2021-08-25T15:07:40+02:00,system,internet,FALSE,TRUE
2021-08-25T15:08:10+02:00,system,internet,TRUE,FALSE
2021-08-25T15:08:11+02:00,system,internet,FALSE,TRUE
2021-08-25T15:08:25+02:00,system,internet,TRUE,FALSE
2021-08-25T15:08:26+02:00,system,internet,FALSE,TRUE
2021-08-25T15:08:41+02:00,system,internet,TRUE,FALSE
2021-08-25T15:08:43+02:00,system,internet,FALSE,TRUE
2021-08-25T15:15:31+02:00,system,internet,TRUE,FALSE
2021-08-25T15:15:32+02:00,system,internet,FALSE,TRUE
2021-08-25T15:18:33+02:00,system,internet,TRUE,FALSE
2021-08-25T15:18:34+02:00,system,internet,FALSE,TRUE
2021-08-25T15:18:53+02:00,system,internet,TRUE,FALSE
2021-08-25T15:18:54+02:00,system,internet,FALSE,TRUE
2021-08-25T15:20:06+02:00,system,internet,TRUE,FALSE
2021-08-25T15:20:07+02:00,system,internet,FALSE,TRUE
2021-08-25T15:22:54+02:00,system,internet,TRUE,FALSE
2021-08-25T15:22:56+02:00,system,internet,FALSE,TRUE
2021-08-25T15:23:20+02:00,system,internet,TRUE,FALSE
2021-08-25T15:23:22+02:00,system,internet,FALSE,TRUE
2021-08-25T15:23:24+02:00,system,internet,TRUE,FALSE
2021-08-25T15:23:25+02:00,system,internet,FALSE,TRUE
2021-08-25T15:23:37+02:00,system,internet,TRUE,FALSE
2021-08-25T15:23:39+02:00,system,internet,FALSE,TRUE
2021-08-25T15:23:57+02:00,system,internet,TRUE,FALSE
2021-08-25T15:23:58+02:00,system,internet,FALSE,TRUE
2021-08-25T15:24:03+02:00,system,internet,TRUE,FALSE
2021-08-25T15:24:04+02:00,system,internet,FALSE,TRUE
2021-08-25T15:24:19+02:00,system,internet,TRUE,FALSE
2021-08-25T15:24:20+02:00,system,internet,FALSE,TRUE
2021-08-25T15:24:51+02:00,system,internet,TRUE,FALSE
2021-08-25T15:24:53+02:00,system,internet,FALSE,TRUE
2021-08-25T15:25:20+02:00,system,internet,TRUE,FALSE
2021-08-25T15:25:21+02:00,system,internet,FALSE,TRUE
2021-08-25T15:25:35+02:00,system,internet,TRUE,FALSE
2021-08-25T15:25:37+02:00,system,internet,FALSE,TRUE
2021-08-25T15:25:43+02:00,system,internet,TRUE,FALSE
2021-08-25T15:25:45+02:00,system,internet,FALSE,TRUE
2021-08-25T15:26:17+02:00,system,internet,TRUE,FALSE
2021-08-25T15:26:18+02:00,system,internet,FALSE,TRUE
2021-08-25T15:28:32+02:00,system,internet,TRUE,FALSE
2021-08-25T15:28:33+02:00,system,internet,FALSE,TRUE
2021-08-25T15:29:02+02:00,system,internet,TRUE,FALSE
2021-08-25T15:29:03+02:00,system,internet,FALSE,TRUE
2021-08-25T15:29:26+02:00,system,internet,TRUE,FALSE
2021-08-25T15:29:27+02:00,system,internet,FALSE,TRUE
2021-08-25T15:33:08+02:00,system,internet,TRUE,FALSE
2021-08-25T15:33:09+02:00,system,internet,FALSE,TRUE
2021-08-25T15:33:57+02:00,system,internet,TRUE,FALSE
2021-08-25T15:33:59+02:00,system,internet,FALSE,TRUE
2021-08-25T15:34:52+02:00,system,internet,TRUE,FALSE
2021-08-25T15:34:53+02:00,system,internet,FALSE,TRUE
2021-08-25T15:35:07+02:00,system,internet,TRUE,FALSE
2021-08-25T15:35:15+02:00,system,internet,FALSE,TRUE
2021-08-25T15:35:33+02:00,system,internet,TRUE,FALSE
2021-08-25T15:35:34+02:00,system,internet,FALSE,TRUE
2021-08-25T15:37:55+02:00,system,internet,TRUE,FALSE
2021-08-25T15:37:56+02:00,system,internet,FALSE,TRUE
2021-08-25T15:39:27+02:00,system,internet,TRUE,FALSE
2021-08-25T15:39:28+02:00,system,internet,FALSE,TRUE
2021-08-25T15:40:16+02:00,system,internet,TRUE,FALSE
2021-08-25T15:40:18+02:00,system,internet,FALSE,TRUE
